
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Episode: 172/1000 | Episode reward:   757.17 | Episode steps: 1001 | Average reward:   756.91 | Step Count: 172172 | Episode Q0:    16.98
Episode: 173/1000 | Episode reward:   756.22 | Episode steps: 1001 | Average reward:   756.82 | Step Count: 173173 | Episode Q0:    17.06
Episode: 174/1000 | Episode reward:   756.26 | Episode steps: 1001 | Average reward:   756.62 | Step Count: 174174 | Episode Q0:    17.30
Episode: 175/1000 | Episode reward:   757.02 | Episode steps: 1001 | Average reward:   756.64 | Step Count: 175175 | Episode Q0:    17.55
Episode: 176/1000 | Episode reward:   756.85 | Episode steps: 1001 | Average reward:   756.70 | Step Count: 176176 | Episode Q0:    17.80
Episode: 177/1000 | Episode reward:   756.44 | Episode steps: 1001 | Average reward:   756.56 | Step Count: 177177 | Episode Q0:    18.19
Episode: 178/1000 | Episode reward:   756.98 | Episode steps: 1001 | Average reward:   756.71 | Step Count: 178178 | Episode Q0:    18.72
Episode: 179/1000 | Episode reward:   756.93 | Episode steps: 1001 | Average reward:   756.85 | Step Count: 179179 | Episode Q0:    18.59
Episode: 180/1000 | Episode reward:   756.83 | Episode steps: 1001 | Average reward:   756.81 | Step Count: 180180 | Episode Q0:    18.77
Episode: 181/1000 | Episode reward:   756.94 | Episode steps: 1001 | Average reward:   756.82 | Step Count: 181181 | Episode Q0:    18.99
Episode: 182/1000 | Episode reward:   756.13 | Episode steps: 1001 | Average reward:   756.76 | Step Count: 182182 | Episode Q0:    19.24
Episode: 183/1000 | Episode reward:   756.56 | Episode steps: 1001 | Average reward:   756.68 | Step Count: 183183 | Episode Q0:    19.66
Episode: 184/1000 | Episode reward:   756.73 | Episode steps: 1001 | Average reward:   756.64 | Step Count: 184184 | Episode Q0:    19.64
Episode: 185/1000 | Episode reward:   756.74 | Episode steps: 1001 | Average reward:   756.62 | Step Count: 185185 | Episode Q0:    19.90
Episode: 186/1000 | Episode reward:   756.56 | Episode steps: 1001 | Average reward:   756.54 | Step Count: 186186 | Episode Q0:    20.35
Episode: 187/1000 | Episode reward:   756.75 | Episode steps: 1001 | Average reward:   756.67 | Step Count: 187187 | Episode Q0:    20.66
Episode: 188/1000 | Episode reward:   756.83 | Episode steps: 1001 | Average reward:   756.72 | Step Count: 188188 | Episode Q0:    20.71
Episode: 189/1000 | Episode reward:   757.26 | Episode steps: 1001 | Average reward:   756.83 | Step Count: 189189 | Episode Q0:    20.78
Episode: 190/1000 | Episode reward:   756.79 | Episode steps: 1001 | Average reward:   756.84 | Step Count: 190190 | Episode Q0:    20.81
Episode: 191/1000 | Episode reward:   755.78 | Episode steps: 1001 | Average reward:   756.68 | Step Count: 191191 | Episode Q0:    21.14
Episode: 192/1000 | Episode reward:   756.94 | Episode steps: 1001 | Average reward:   756.72 | Step Count: 192192 | Episode Q0:    21.63
Episode: 193/1000 | Episode reward:   756.09 | Episode steps: 1001 | Average reward:   756.57 | Step Count: 193193 | Episode Q0:    21.44
Episode: 194/1000 | Episode reward:   756.03 | Episode steps: 1001 | Average reward:   756.33 | Step Count: 194194 | Episode Q0:    21.97
Episode: 195/1000 | Episode reward:   756.64 | Episode steps: 1001 | Average reward:   756.29 | Step Count: 195195 | Episode Q0:    22.02
Episode: 196/1000 | Episode reward:   756.97 | Episode steps: 1001 | Average reward:   756.53 | Step Count: 196196 | Episode Q0:    22.19
